SKU,Tx power (cdBm),Reader mode,Target spec,Initial Q,Region Name,Duration (ms),Session,Scan cr,Scan protection,Scan id,Local time
710,3000,4141,D,8,FCC,0,2,1,2,3,2024-11-21 14:23:27

FW timestamp (us),Target,Channel freq (kHz),Antenna,Reader mode,Packet Type,EPC Length (bytes),EPC,Phase start,Phase end,RSSI (cdBm),Multi Read Times
929304,D,922250,1,4141,T5,12,E28011B0A505006E63068144,3677,3684,-4489
937523,D,922250,1,4141,T5,12,E28011B0A505006E63068124,3471,3465,-4714
942464,D,922250,1,4141,T5,12,E28011B0A505006E63068114,3923,3917,-5165
967580,D,922250,1,4141,T5,12,E28011B0A505006E63068114,3920,3916,-5165
981628,D,922250,1,4141,T5,12,E28011B0A505006E63068144,3680,3683,-4498
986689,D,922250,1,4141,T5,12,E28011B0A505006E63068124,3471,3464,-4724
997823,D,922250,1,4141,T5,12,E28011B0A505006E63068134,3614,3607,-4423
1020981,D,923250,1,4141,T5,12,E28011B0A505006E63068124,1427,1416,-4700
1028985,D,923250,1,4141,T5,12,E28011B0A505006E63068134,3614,3612,-4418
1040193,D,923250,1,4141,T5,12,E28011B0A505006E63068114,3923,3918,-5151
1054372,D,923250,1,4141,T5,12,E28011B0A505006E63068144,3910,3910,-4456
1080043,D,923250,1,4141,T5,12,E28011B0A505006E63068124,3705,3702,-4709
1093998,D,923250,1,4141,T5,12,E28011B0A505006E63068134,1796,1787,-4380
1102941,D,923250,1,4141,T5,12,E28011B0A505006E63068144,3913,3915,-4474
1106483,D,923250,1,4141,T5,12,E28011B0A505006E63068114,59,60,-5217
1115792,D,923250,1,4141,T5,12,E28011B0A505006E63068144,1862,1863,-4484
1128732,D,923250,1,4141,T5,12,E28011B0A505006E63068134,3840,3838,-4380
1144469,D,923250,1,4141,T5,12,E28011B0A505006E63068124,3705,3703,-4709
1148842,D,923250,1,4141,T5,12,E28011B0A505006E63068114,56,55,-5208
1180764,D,923250,1,4141,T5,12,E28011B0A505006E63068144,3914,3916,-4465
1188903,D,923250,1,4141,T5,12,E28011B0A505006E63068134,3845,3835,-4380
1193876,D,923250,1,4141,T5,12,E28011B0A505006E63068124,3713,3702,-4728
1203406,D,923250,1,4141,T5,12,E28011B0A505006E63068114,57,58,-5208
1233389,D,923750,1,4141,T5,12,E28011B0A505006E63068114,58,58,-5217
1242935,D,923750,1,4141,T5,12,E28011B0A505006E63068144,3915,3917,-4446
1249559,D,923750,1,4141,T5,12,E28011B0A505006E63068124,3712,3703,-4719
1264403,D,923750,1,4141,T5,12,E28011B0A505006E63068134,3947,3945,-4390
1283982,D,923750,1,4141,T5,12,E28011B0A505006E63068114,171,172,-5189
1301703,D,923750,1,4141,T5,12,E28011B0A505006E63068144,4021,4022,-4493
1308325,D,923750,1,4141,T5,12,E28011B0A505006E63068134,3950,3947,-4390
1315120,D,923750,1,4141,T5,12,E28011B0A505006E63068124,3822,3816,-4691
1339032,D,923750,1,4141,T5,12,E28011B0A505006E63068124,3817,3814,-4719
1349524,D,923750,1,4141,T5,12,E28011B0A505006E63068134,3951,3946,-4399
1356912,D,923750,1,4141,T5,12,E28011B0A505006E63068144,4023,4022,-4493
1362057,D,923750,1,4141,T5,12,E28011B0A505006E63068114,2217,2218,-5208
1384842,D,923750,1,4141,T5,12,E28011B0A505006E63068114,2214,2221,-5198
1397882,D,923750,1,4141,T5,12,E28011B0A505006E63068144,4023,4026,-4503
1402184,D,923750,1,4141,T5,12,E28011B0A505006E63068134,3954,3949,-4399
1413165,D,923750,1,4141,T5,12,E28011B0A505006E63068124,3821,3820,-4691
1431973,D,920750,1,4141,T5,12,E28011B0A505006E63068124,3821,3820,-4709
1445790,D,920750,1,4141,T5,12,E28011B0A505006E63068134,3952,3950,-4409
1452302,D,920750,1,4141,T5,12,E28011B0A505006E63068144,4022,4025,-4493
1476328,D,920750,1,4141,T5,12,E28011B0A505006E63068114,3565,3559,-5170
1491566,D,920750,1,4141,T5,12,E28011B0A505006E63068114,1518,1514,-5189
1496522,D,920750,1,4141,T5,12,E28011B0A505006E63068134,3286,3280,-4409
1514875,D,920750,1,4141,T5,12,E28011B0A505006E63068124,1084,1084,-4766
1522943,D,920750,1,4141,T5,12,E28011B0A505006E63068144,1302,1302,-4493
1556013,D,920750,1,4141,T5,12,E28011B0A505006E63068124,1082,1082,-4756
1563219,D,920750,1,4141,T5,12,E28011B0A505006E63068144,3346,3348,-4484
1566739,D,920750,1,4141,T5,12,E28011B0A505006E63068134,3286,3275,-4418
1572443,D,920750,1,4141,T5,12,E28011B0A505006E63068114,3563,3559,-5179
1605649,D,920750,1,4141,T5,12,E28011B0A505006E63068114,1514,1510,-5189
1617453,D,920750,1,4141,T5,12,E28011B0A505006E63068144,3344,3350,-4474
1623513,D,920750,1,4141,T5,12,E28011B0A505006E63068134,3285,3277,-4409
1627204,D,920750,1,4141,T5,12,E28011B0A505006E63068124,3131,3132,-4775
1652895,D,911250,1,4141,T5,12,E28011B0A505006E63068144,3350,3350,-4493
1673698,D,911250,1,4141,T5,12,E28011B0A505006E63068134,3315,3314,-4559
1679533,D,911250,1,4141,T5,12,E28011B0A505006E63068124,3011,3016,-4775
1686093,D,911250,1,4141,T5,12,E28011B0A505006E63068114,3220,3220,-5095
1708835,D,911250,1,4141,T5,12,E28011B0A505006E63068114,1173,1172,-5114
1721152,D,911250,1,4141,T5,12,E28011B0A505006E63068134,3317,3313,-4559
1730785,D,911250,1,4141,T5,12,E28011B0A505006E63068124,969,968,-4756
1735024,D,911250,1,4141,T5,12,E28011B0A505006E63068144,3519,3520,-4597
1763262,D,911250,1,4141,T5,12,E28011B0A505006E63068124,3012,3018,-4766
1773408,D,911250,1,4141,T5,12,E28011B0A505006E63068134,1281,1269,-4550
1777737,D,911250,1,4141,T5,12,E28011B0A505006E63068114,3225,3225,-5104
1781251,D,911250,1,4141,T5,12,E28011B0A505006E63068144,1471,1473,-4597
1800199,D,911250,1,4141,T5,12,E28011B0A505006E63068134,1267,1270,-4568
1806791,D,911250,1,4141,T5,12,E28011B0A505006E63068144,3519,3525,-4587
1828160,D,911250,1,4141,T5,12,E28011B0A505006E63068114,1186,1178,-5114
1834698,D,911250,1,4141,T5,12,E28011B0A505006E63068124,968,967,-4775
